geneNames	GSM44908	GSM44909	GSM44910	GSM44911	GSM44912	GSM44913	GSM44938	GSM44939	GSM44940	GSM44941	GSM44942	GSM44943	GSM44944
ACTC1	188.4050426	103.8046161	203.30616	540.1337616	103.1326546	222.5701967	29.63105061	158.4191167	74.45715127	23.40010496	50.10618564	24.6044263	38.70045967
ACTG2	292.3143187	662.9237929	1289.734687	428.6866457	2014.878965	1073.068852	237.0366421	9.016111902	75.23539574	213.8677399	188.2708244	606.0959957	108.9005443
ACTL6A	1752.115699	1016.084711	1546.58586	1246.444104	1176.767625	1265.832601	1198.655453	830.0855704	919.5813865	1355.493739	1195.925123	926.4558207	876.1576614
ACTL6B	80.61065258	162.2873507	135.3638189	125.3775915	181.6639105	233.8961666	48.16133408	60.53095962	121.9410417	40.26157741	50.03773569	23.30397606	16.49258165
ACTL8	323.8323265	282.7931851	221.9367604	363.8327112	344.1990025	181.0374712	68.18297134	149.0921509	128.6708763	49.27666612	41.968447	125.3956494	80.90020202
ACTN1	3879.0219285	4367.9697255	3294.136772	5832.9268285	4823.1574385	5217.7070025	5806.844771	5868.396362	6283.634409	7080.5267365	10333.9034015	7419.830316	8800.9007765
ACTN2	15.46549781	53.15668318	12.16096042	13.95334682	12.42105316	3.604034148	5.925053361	27.94361485	11.77700457	4.406968871	4.027767333	7.047656578	8.199830545
ACTN3	24.59871566	24.0490218	26.20900948	25.73080334	24.36404478	12.18611006	11.96239135	13.35586884	17.28122853	9.134102517	11.63087362	19.95335324	4.826199057
ACTN4	2539.09657	3106.225172	2506.376151	3398.508405	3730.752089	2830.794431	9818.654337	8051.054047	10280.01859	8491.687297	9766.928422	11449.33729	9546.712805
ACTR1A	931.8639706	1038.39286	1000.012844	1087.204374	1048.237411	1100.130946	937.6355314	1055.741579	1013.996743	969.5205759	1343.900876	891.456328	1152.688534
ACTR1B	673.7575607	826.6944245	761.4466301	980.3520105	792.4236729	702.3423349	744.1504398	738.993003	809.3573004	589.7818504	679.8895172	596.8557914	545.0452659
ACTR2	3359.7624145	3184.136864	3005.069341	3922.3673365	4148.6267895	3541.6481695	2675.11218015	2435.90349965	2735.8296955	2768.075999	4496.8893395	2514.84700725	3343.7022145
ACTR3	4763.066355	4020.314247	4041.924391	4968.815354	4564.760764	5259.448292	2625.686744	3480.775775	3479.22027	3795.255309	4141.019656	2989.023104	3811.792694
ACVR1	780.7904175	769.1686894	1143.647661	808.3278832	729.5036497	568.2281814	305.8110484	602.7747276	498.5364059	752.5871633	458.2373335	407.2638717	339.9242093
ACVR1B	319.234134603333	269.066443626667	368.126106236667	360.298928485	365.987904081667	269.409535535	201.79798852	181.032026129333	235.376245146667	171.505305998333	158.596432393833	140.231186451833	163.180464915
ACVR2A	150.765337	99.04608926	63.62555121	113.2728506	110.2282559	100.6132389	64.23672864	38.71797641	63.06739085	63.92861228	38.56418243	59.90257677	37.53189665
ACVR2B	51.04613375	88.56727663	45.07569841	114.4693193	141.8588858	63.65741412	58.26366394	23.00193271	19.05834433	27.95488944	31.10657774	60.34685796	52.71442827
ACVRL1	64.8256042833333	112.734734199	76.2633031166667	61.1962102296667	141.29406303	68.3817435866667	83.7815633226667	102.03260055	93.7200454466667	66.0495096266667	49.0321894733333	73.2230460433333	88.6841620833333
ACYP1	99.50010118	124.8235393	160.1695056	136.9422524	107.2804142	201.6437285	174.4158356	231.8116667	190.9175223	188.7697299	159.7792141	178.220351	145.2439111
ADA	348.93178855	250.4807799	294.64408325	1106.6409733	1433.9002815	473.23512865	281.1072366	273.392489	282.9681198	267.3661768	1737.340007	190.28806855	160.87057105
ADAM10	634.484332702667	530.409563333333	504.519312556667	564.591769043667	641.757499476667	422.316639679667	534.392864646667	502.377853773333	364.138049766667	490.078079411	522.594012986667	370.202322446667	507.053452858667
ADAM11	201.8301311	200.1400186	46.72645346	182.4535747	42.18059278	52.96070172	31.34321359	91.93891818	20.23920016	23.34855818	69.88948281	37.30535794	72.86081849
ADAM12	75.232153365	88.995414305	58.998280315	34.55112239	165.26896028	111.85869716	198.09678591	43.35829849	154.60813273	173.18702193	290.68575035	210.302047045	188.13261545
ADAM15	1148.948426	880.9780807	693.8114306	807.9217074	807.6103582	832.849939	945.043732	908.0350331	1121.432442	997.0539466	617.0553257	1093.110806	899.1137881
ADAM17	258.470292933333	175.93531575	169.25795654	152.621782166667	125.757203736667	103.904758026667	155.379955896667	173.5139078	170.929864766667	198.006212233333	92.75946268	150.066621133333	164.775945373333
ADAM18	2.918333184	4.340872025	8.382932157	2.354971143	2.610265419	4.297553607	3.787448106	1.576421615	1.371639053	2.612215759	4.505011939	1.273649638	1.142222603
ADAM19	382.3499855	276.4755072	189.8066965	759.0797993	560.2533916	518.4468721	186.8804587	198.0878487	181.8430214	173.1792677	628.2150113	158.4489275	122.5856685
ADAM2	1.875816822	6.627817369	15.82948458	14.53361578	11.56506089	5.088045703	1.755014963	9.602732857	27.16957565	2.524304959	22.92480602	11.99967333	1.205309614
ADAM20	85.74829821	19.92420537	75.78579624	88.611521	21.67220265	49.80184136	6.503322584	10.17738856	70.48749478	13.22358042	30.84478008	57.40245535	7.724213829
ADAM21	43.48915304	81.70766971	11.82685514	73.34092474	9.989296775	55.98819429	49.67103469	5.141218329	4.306059491	2.578927161	8.696369392	17.21139195	34.99866701
ADAM22	54.697507266	29.362399188	19.09661704375	27.962296122	21.745138971	30.68046613275	46.100823568	17.3091495035	44.75829140125	24.843770125	34.29346495125	33.8386774205	24.9119797725
ADAM23	49.2209959	68.30323035	56.756128915	82.611733705	90.47095918	118.6938104	94.11709631	120.36553315	36.768052511	14.4074931075	482.50552685	64.9639187	34.39751281
ADAM28	21.04438532	16.91705996	3.528118079	3.379128943	3.395862765	25.82746491	3.595308396	2.958670792	15.57006431	16.60590709	30.2050095	4.471214073	3.735659933
ADAM3A	20.28475152	9.687887011	14.525686441	17.802369898	14.232025688	14.404287844	16.476336157	12.65671933	12.3953671903333	5.82755747733333	16.231646075	28.092101767	12.475569669
ADAM5	2.220167639	3.776748834	3.996610239	2.861145599	6.126486953	4.478462026	9.91140965	2.542007187	7.531901266	2.023523931	3.670544147	2.722473811	4.768859632
ADAM7	4.141879755	2.099514383	8.296832231	8.879803371	11.67288074	2.485339369	8.286382657	2.237623735	6.071659174	4.140989294	7.593867977	6.707945403	17.91123816
ADAM8	124.507322	139.1833154	153.2563229	166.0739182	199.4535181	166.4528446	32.95745791	86.57474186	97.61454474	47.48770623	81.7845353	77.59392427	29.39437958
ADAM9	927.4468657	721.2417197	1049.82823	770.4020843	872.4597124	565.2115039	608.3906452	855.6997672	689.1901411	1162.11985	893.5532585	679.0354231	804.4817325
ADAMDEC1	9.803613026	60.21401608	70.5444895	38.13996824	38.03163513	36.72120528	44.05309611	24.99431285	14.37172983	52.74953975	25.02356887	13.01327372	13.33704394
ADAMTS2	191.3995649	65.11111487	263.1655547	142.483346	432.4100251	388.8596504	294.8570749	209.5720685	228.041653	135.6774835	455.1214491	30.27164097	139.5432617
ADAMTS3	147.5161521	279.442998	171.303617	69.38671578	44.86283973	128.2109379	268.4053404	108.9786646	248.8667871	132.7552431	245.0916924	291.9158864	220.4828564
ADAMTSL2	1457.15987	1285.215385	1298.469126	1327.486378	1267.986409	1197.211657	444.4741151	350.7662627	480.2568164	423.775185	549.9423154	547.8047073	323.0366145
ADAMTSL3	200.9816521	189.273032	343.2255625	104.7855571	39.99332809	109.5491093	112.1386467	154.0618455	58.45520592	162.9882697	32.03447265	106.1176493	51.51106282
ADAR	2035.858497	2265.01237	2178.357359	1847.315531	2073.346282	1722.313682	3307.075731	2817.784287	3327.705209	3450.732099	2464.680768	3177.069314	2888.73333
ADARB1	692.643563	807.4909154	647.6414417	789.6313966	484.6803236	409.370011	790.6565691	802.1869282	1032.375604	864.6022186	605.5440074	861.6477147	894.7331589
